,brokerage_cash_value,sbux_value,ge_value,nrf_value,nsam_value,goog_value,mdor_value,bac_value,f_value,nat_value,usagx_value,bp_value,aapl_value,total_value
2013-01-01,7797.72,0.0,8486.577307399999,3291.52384,,,,3317.9261175,5180.0,900.445875,2753.37509,3747.6,,35475.1682299
2013-02-01,7874.6,0.0,9008.1439928,3646.8588,,,,3235.0494100000005,5180.0,889.1259840000001,2511.18481,4006.8,,36351.7629968
2013-03-01,8124.14,0.0,9376.0708794,4189.21216,,,,3240.7650450000006,5044.0,922.0565760000002,2205.36827,3629.7,,36731.312930399996
2013-04-01,2675.64,0.0,9347.7688112,4432.33608,,,,3480.8217150000005,5260.0,1188.588555,2246.4174700000003,3811.5,,32443.0726312
2013-05-01,2752.46,0.0,9012.1871454,4661.43362,,,,3517.973342500001,5484.0,916.9111710000001,1826.6894000000002,3924.0,,32095.6546789
2013-06-01,3011.34,0.0,9428.6318632,3941.4127799999997,,,,3903.7787050000006,6272.0,862.3698780000001,1712.7778700000001,3861.8999999999996,,32994.2110962
2013-07-01,3062.82,0.0,9412.4592528,4310.77412,,,,3695.1580275000006,6280.0,774.897993,1426.4597,3749.3999999999996,,32711.969093300002
2013-08-01,3139.67,0.0,9946.155396,4633.38086,,,,4258.148075000001,6828.0,987.91776,1607.07618,3745.7999999999997,,35146.148271
2013-09-01,3407.88,0.0,9355.8551164,4095.7029599999996,,,,4035.2383100000006,6476.000000000001,791.3632890000001,1741.51231,3716.9999999999995,,33620.5519854
2013-10-01,3459.37,0.0,9772.2998342,4408.95878,,,,3972.366325000001,6876.000000000001,852.079068,1535.2400800000003,3766.5,,34642.81408719999
2013-11-01,3536.22,0.0,10730.5270004,4610.00356,,,,4006.6601350000005,6756.0,868.544364,1526.0040099999999,4189.5,,36223.45906940001
2013-12-01,3803.18,0.0,10779.044831599998,4619.35448,,,,4521.067285000001,6831.999999999999,833.55561,1396.69903,4230.9,,37015.801236600004
2014-01-01,3876.39,0.0,11332.9567378,6288.4937,,,,4449.6218475000005,6172.0,998.20857,1338.20392,4374.9,,38830.7747753
2014-02-01,88.95,0.0,10160.4424838,6821.49614,,,,4786.8443125,5984.0,1125.814614,1470.58759,4220.1,,34658.2351403
2014-03-01,181.86,0.0,10297.9096722,7251.63846,,,,4723.9723275000015,6156.0,1087.738617,1667.62375,4554.9,,35921.642826699994
2014-04-01,469.79,0.0,10459.635776199999,7541.516979999999,,,,4955.455545000001,6528.0,1011.586623,1531.13516,4359.599999999999,,36856.7200842
2014-05-01,5193.62,0.0,10815.433205,7504.1133,,,,0.0,6356.0,875.747931,1574.23682,4544.1,,36863.251255999996
